source_node,target_node,relationship_type,estimated_weight,weight_basis,public_or_private,ticker_if_public,geography,confidence,source_url,notes
TSMC,NVIDIA,foundry_to_designer,5,qualitative importance score 1-5,public,TSM,Taiwan / US,high,https://s201.q4cdn.com/141608511/files/doc_financials/2025/q4/177440d5-3b32-4185-8cc8-95500a9dc783.pdf,NVIDIA 10-K names TSMC and Samsung as wafer foundries; TSMC is dominant for advanced AI accelerators.
Samsung Electronics,NVIDIA,foundry_to_designer,2,qualitative importance score 1-5,public,005930.KS,South Korea,high,https://s201.q4cdn.com/141608511/files/doc_financials/2025/q4/177440d5-3b32-4185-8cc8-95500a9dc783.pdf,"Named as NVIDIA foundry and memory supplier, but less central than TSMC for leading AI GPUs."
SK hynix,NVIDIA,supplier_to_company,5,qualitative importance score 1-5,public,000660.KS,South Korea,high,https://s201.q4cdn.com/141608511/files/doc_financials/2025/q4/177440d5-3b32-4185-8cc8-95500a9dc783.pdf,NVIDIA 10-K names SK hynix as a memory supplier; HBM is a primary AI chip bottleneck.
Micron,NVIDIA,supplier_to_company,4,qualitative importance score 1-5,public,MU,US,high,https://s201.q4cdn.com/141608511/files/doc_financials/2025/q4/177440d5-3b32-4185-8cc8-95500a9dc783.pdf,Named NVIDIA memory supplier; liquid U.S. HBM/server memory proxy.
Samsung Electronics Memory,NVIDIA,supplier_to_company,3,qualitative importance score 1-5,public,005930.KS,South Korea,high,https://s201.q4cdn.com/141608511/files/doc_financials/2025/q4/177440d5-3b32-4185-8cc8-95500a9dc783.pdf,Named as NVIDIA memory supplier; HBM catch-up competitor.
TSMC CoWoS,NVIDIA,packaging_to_chipmaker,5,qualitative importance score 1-5,public,TSM,Taiwan,high,https://s201.q4cdn.com/141608511/files/doc_financials/2025/q4/177440d5-3b32-4185-8cc8-95500a9dc783.pdf,NVIDIA explicitly says it utilizes CoWoS technology for semiconductor packaging.
TSMC CoWoS,AMD,packaging_to_chipmaker,4,inferred dependency,public,TSM,Taiwan,medium,https://epoch.ai/data-insights/ai-chip-supply-chain-constraints,High-end AMD AI accelerators compete for advanced packaging/HBM capacity.
TSMC CoWoS,Broadcom,packaging_to_chipmaker,4,inferred dependency,public,TSM,Taiwan,medium,https://news.futunn.com/en/post/66073763/taiwan-semiconductor-s-monthly-production-of-cowos-is-projected-to,Broadcom custom AI ASIC programs for hyperscalers are a major CoWoS demand source.
Broadcom,Google TPU / hyperscaler ASICs,company_to_customer,4,inferred dependency,public,AVGO,US,medium,https://newsletter.semianalysis.com/p/eda-market-primer,Hyperscaler custom silicon is a major AI ASIC demand vector; Broadcom is a public custom silicon proxy.
ASML EUV,TSMC,equipment_to_manufacturer,5,qualitative importance score 1-5,public,ASML,Netherlands,high,https://www.sec.gov/Archives/edgar/data/937966/000162828026011377/asml-2025xannualxreportx.htm,ASML is the only EUV lithography supplier; advanced logic/DRAM scaling depends on EUV.
KLA,TSMC,equipment_to_manufacturer,5,qualitative importance score 1-5,public,KLAC,US,medium,https://www.sec.gov/Archives/edgar/data/319201/000119312525213412/d912971dars.pdf,Process control and metrology become more critical as advanced-node and advanced-packaging yield complexity rises.
Applied Materials,TSMC,equipment_to_manufacturer,4,qualitative importance score 1-5,public,AMAT,US,medium,https://www.tikr.com/blog/applied-materials-30-systems-outlook-is-the-headline-the-services-business-may-be-the-better-story,"Broad materials engineering exposure across foundry logic, DRAM, and advanced packaging."
Lam Research,TSMC,equipment_to_manufacturer,4,qualitative importance score 1-5,public,LRCX,US,medium,https://filecache.investorroom.com/mr5ir_lamresearch2/1461/LAM%2BRESEARCH%2BCORP_BOOKMARKS_2025_V1.pdf,"Deposition/etch intensity rises with GAA, backside power, DRAM scaling, and advanced packaging."
Tokyo Electron,TSMC,equipment_to_manufacturer,3,qualitative importance score 1-5,public,8035.T,Japan,medium,https://www.sec.gov/Archives/edgar/data/937966/000162828026011377/asml-2025xannualxreportx.htm,Major Japan WFE supplier; include for semicap basket even though this v1 model did not source TEL filings directly.
Ajinomoto ABF,AI Accelerator Package,material_to_supplier,5,qualitative importance score 1-5,public,2802.T,Japan,medium,https://capitalblueprint.substack.com/p/ajinomoto-co-inc-deep-analysis-report,ABF film is the weird hidden bottleneck beneath advanced CPU/GPU substrates.
Ajinomoto ABF,Ibiden,supplier_to_company,5,qualitative importance score 1-5,public,4062.T,Japan,medium,https://nikhs.substack.com/p/ibiden-the-hidden-bottleneck-beneath,Ibiden is a high-end ABF substrate maker; downstream capacity depends on ABF film allocation.
Ajinomoto ABF,Unimicron,supplier_to_company,4,qualitative importance score 1-5,public,3037.TW,Taiwan,medium,https://www.intelmarketresearch.com/abf-substrate-market-21855,Unimicron is a major ABF substrate supplier tied to AI package demand.
Ajinomoto ABF,Shinko Electric,supplier_to_company,3,qualitative importance score 1-5,public,6967.T,Japan,medium,https://www.intelmarketresearch.com/abf-substrate-market-21855,High-density substrate exposure; liquidity/corporate actions should be checked before trading.
Ibiden,TSMC CoWoS,supplier_to_company,4,inferred dependency,public,TSM,Japan / Taiwan,medium,https://www.ibiden.com/ir/items/en_kessannsetsumeiFY2025.pdf,High-performance substrates feed AI GPU/ASIC packaging flows.
Unimicron,TSMC CoWoS,supplier_to_company,4,inferred dependency,public,TSM,Taiwan,medium,https://www.intelmarketresearch.com/abf-substrate-market-21855,Taiwan substrate ecosystem ties into foundry/OSAT advanced packaging flows.
ASE Technology,TSMC CoWoS,packaging_to_chipmaker,3,inferred dependency,public,3711.TW,Taiwan,medium,https://www.eetimes.com/chip-assembler-ase-sees-advanced-packaging-sales-doubling/,ASE may absorb outsourced/less complex advanced packaging as TSMC capacity remains tight.
Amkor,TSMC CoWoS,packaging_to_chipmaker,2,inferred dependency,public,AMKR,US / Asia,medium,https://www.sec.gov/Archives/edgar/data/1047127/000119312526140294/d94485dars.pdf,Amkor is a liquid U.S.-listed OSAT/advanced packaging proxy.
Hon Hai Precision / Foxconn,NVIDIA,supplier_to_company,4,qualitative importance score 1-5,public,2317.TW,Taiwan,high,https://s201.q4cdn.com/141608511/files/doc_financials/2025/q4/177440d5-3b32-4185-8cc8-95500a9dc783.pdf,NVIDIA names Hon Hai as assembly/test/packaging final-products partner.
Wistron,NVIDIA,supplier_to_company,3,qualitative importance score 1-5,public,3231.TW,Taiwan,high,https://s201.q4cdn.com/141608511/files/doc_financials/2025/q4/177440d5-3b32-4185-8cc8-95500a9dc783.pdf,NVIDIA names Wistron as assembly/test/packaging final-products partner.
Fabrinet,NVIDIA,supplier_to_company,3,qualitative importance score 1-5,public,FN,Thailand / US,high,https://s201.q4cdn.com/141608511/files/doc_financials/2025/q4/177440d5-3b32-4185-8cc8-95500a9dc783.pdf,NVIDIA names Fabrinet as assembly/test/packaging final-products partner; also optical manufacturing adjacency.
Synopsys,NVIDIA,software_to_designer,4,inferred dependency,public,SNPS,US,medium,https://newsletter.semianalysis.com/p/eda-market-primer,Advanced chip design requires EDA; Synopsys is one of the dominant vendors.
Cadence,NVIDIA,software_to_designer,4,inferred dependency,public,CDNS,US,medium,https://www.marketscreener.com/news/cadence-design-annual-report-for-fiscal-year-ending-december-31-2025-form-10-k-ce7e5ddcd98af023,Advanced chip design and systems-company ASICs require EDA and verification tooling.
Cadence,Hyperscaler ASIC teams,software_to_designer,5,inferred dependency,public,CDNS,US,medium,https://newsletter.semianalysis.com/p/eda-market-primer,Systems companies are a fast-growing EDA customer category.
Synopsys,Hyperscaler ASIC teams,software_to_designer,5,inferred dependency,public,SNPS,US,medium,https://newsletter.semianalysis.com/p/eda-market-primer,Custom ASIC proliferation expands EDA demand beyond traditional semiconductor companies.
Silicon wafer,TSMC,material_to_supplier,5,qualitative importance score 1-5,mixed,4063.T / 3436.T / WAF.DE / 6488.TW,Japan / Germany / Taiwan / Korea,medium,https://www.semi.org/en/semi-press-release/semi-reports-2025-annual-worldwide-silicon-wafer-shipments-and-revenue-results,"300mm advanced wafers are foundational for AI logic and HBM; oligopoly includes Shin-Etsu, SUMCO, GlobalWafers, Siltronic, SK Siltron."
Shin-Etsu Chemical,TSMC,supplier_to_company,4,inferred dependency,public,4063.T,Japan,medium,https://www.semi.org/en/semi-press-release/semi-reports-2025-annual-worldwide-silicon-wafer-shipments-and-revenue-results,Leading wafer oligopoly member and also semiconductor materials exposure.
SUMCO,TSMC,supplier_to_company,4,inferred dependency,public,3436.T,Japan,medium,https://www.semi.org/en/semi-press-release/semi-reports-2025-annual-worldwide-silicon-wafer-shipments-and-revenue-results,SEMI quote from SUMCO executive highlights strong 300mm demand in advanced AI-driven logic/HBM.
GlobalWafers,TSMC,supplier_to_company,3,inferred dependency,public,6488.TWO,Taiwan,medium,https://www.semi.org/en/taxonomy/term/45726,Taiwan wafer supplier with advanced logic/cloud/HBM demand linkage. Yahoo uses 6488.TWO for GlobalWafers.
Siltronic,Advanced logic and memory fabs,supplier_to_company,3,qualitative importance score 1-5,public,WAF.DE,Germany,high,https://www.siltronic.com/fileadmin/investorrelations/2025/Q4/260312_Siltronic_Annual_Report_2025_safe.pdf,"Siltronic produces wafers used in AI, servers, data centers, and network technology."
Ultra-high-purity gases,Advanced fabs,material_to_supplier,4,qualitative importance score 1-5,mixed,AIQUY / LIN / 4091.T,France / UK-US / Japan,medium,https://www.airliquide.com/sites/airliquide.com/files/2026-02/air-liquide-pr-fy-2025-with-record-performance-and-confident-in-its-transformation-dynamic-air-liquide-confirms-its-growth-outlook.pdf,"Carrier gases, neon, argon, oxygen, nitrogen, and specialty gases are required for lithography, etch, deposition, and fab operations."
Air Liquide,Advanced fabs,supplier_to_company,4,qualitative importance score 1-5,public,AIQUY,France / global,high,https://www.airliquide.com/sites/airliquide.com/files/2026-02/air-liquide-pr-fy-2025-with-record-performance-and-confident-in-its-transformation-dynamic-air-liquide-confirms-its-growth-outlook.pdf,2025 Air Liquide report cites semiconductor ultra-pure gas investments and long-term supply contracts.
EUV photoresist,ASML EUV ecosystem,material_to_supplier,4,qualitative importance score 1-5,mixed,4185.T / 4186.T / 4063.T / MRK.DE / ENTG,Japan / Germany / US,medium,https://www.meticulousresearch.com/product/extreme-ultraviolet-lithography-materials-market-6572,EUV-qualified materials supplier base is small; qualification cycles are long.
Entegris,EUV metal-oxide resist ecosystem,supplier_to_company,4,qualitative importance score 1-5,public,ENTG,US,high,https://markets.financialcontent.com/stocks/article/bizwire-2026-5-26-entegris-and-jsr-corporationinpria-corporation-announce-non-exclusive-cross-licensing-to-euv-lithography,"Entegris/JSR-Inpria cross-license spans MOR precursors, filtration, handling, and delivery systems for EUV."
JSR / Inpria,EUV photoresist,supplier_to_company,4,qualitative importance score 1-5,private,,Japan / US,high,https://markets.financialcontent.com/stocks/article/bizwire-2026-5-26-entegris-and-jsr-corporationinpria-corporation-announce-non-exclusive-cross-licensing-to-euv-lithography,JSR is private after buyout; relevant as non-tradable but important ecosystem bottleneck.
Zeiss SMT optics,ASML EUV,supplier_to_company,5,qualitative importance score 1-5,private,,Germany,medium,https://www.asml.com/en/investors/annual-report/2025/financials,Private optical subsystem dependency; key hidden bottleneck but no direct liquid public expression.
Trumpf lasers,ASML EUV,supplier_to_company,5,qualitative importance score 1-5,private,,Germany,medium,https://www.asml.com/en/investors/annual-report/2025/financials,Private laser subsystem dependency inside EUV source chain; important but not directly investable.
ASML EUV,Intel Foundry,equipment_to_manufacturer,4,qualitative importance score 1-5,public,INTC,US,medium,https://www.sec.gov/Archives/edgar/data/937966/000162828026011377/asml-2025xannualxreportx.htm,High-NA / advanced-node foundry ambitions depend on ASML; Intel is a higher-risk foundry turnaround proxy.
Advantest,AI Accelerator Package,equipment_to_manufacturer,5,qualitative importance score 1-5,public,6857.T,Japan,high,https://www.advantest.com/document/en/investors/ir-library/result/JE_BIZ_260427_note.pdf,AI/HPC complexity and HBM drive test intensity; Advantest estimates 66% SoC tester share.
Advantest,HBM stack,equipment_to_manufacturer,4,qualitative importance score 1-5,public,6857.T,Japan,high,https://www.advantest.com/document/en/investors/ir-library/annual/E_all_IAR2025.pdf,HBM and high-performance DRAM expand memory test demand.
Lasertec,ASML EUV ecosystem,equipment_to_manufacturer,5,qualitative importance score 1-5,public,6920.T,Japan,medium,https://uk.marketscreener.com/news/lasertec-is-beaming-straight-to-the-bank-ce7e51dcde8dfe23,Actinic EUV mask inspection gatekeeper for advanced logic and memory masks.
Lasertec,TSMC,equipment_to_manufacturer,5,qualitative importance score 1-5,public,6920.T,Japan / Taiwan,medium,https://japan-earnings.com/earnings/2026/04/6920-lasertec-analysis-20260428/,Customers include leading EUV fabs and mask blank manufacturers; order trough may be opportunity.
HOYA,EUV photoresist,material_to_supplier,4,qualitative importance score 1-5,public,7741.T,Japan,high,https://www.hoya.com/ir/2025/en/review/it.html,HOYA produces EUV/DUV mask blanks and is developing High-NA/angstrom-generation products.
HOYA,Lasertec,supplier_to_company,4,qualitative importance score 1-5,public,7741.T,Japan,medium,https://japan-earnings.com/earnings/2026/04/6920-lasertec-analysis-20260428/,Mask blank manufacturers are Lasertec customer ecosystem participants.
DISCO,HBM stack,equipment_to_manufacturer,5,qualitative importance score 1-5,public,6146.T,Japan,high,https://www.disco.co.jp/jp/ir/movie/doc/E_Tech_Briefing_2025.pdf,HBM and 2.5D packages create grinding/dicing opportunities at multiple process steps.
DISCO,AI Accelerator Package,equipment_to_manufacturer,5,qualitative importance score 1-5,public,6146.T,Japan,high,https://www.disco.co.jp/eg/ir/library/doc/film/20260422.pdf,Generative AI and advanced packaging boosted equipment shipments.
BESI,AI Accelerator Package,equipment_to_manufacturer,4,qualitative importance score 1-5,public,BESI.AS,Netherlands,high,https://www.marketscreener.com/news/be-semiconductor-industries-n-annual-report-2025-ce7e5cdcdd8bf026,Hybrid bonding is important for generative AI devices and chiplet architectures.
BESI,HBM stack,equipment_to_manufacturer,4,qualitative importance score 1-5,public,BESI.AS,Netherlands,medium,https://www.besi.com/investor-relations/press-releases/details/be-semiconductor-industries-nv-announces-q4-25-and-full-year-2025-results/,Hybrid bonding orders increased with AI-related 2.5D and photonics applications.
VAT Group,Lam Research,supplier_to_company,4,qualitative importance score 1-5,public,VACN.SW,Switzerland / US,medium,https://www.vatgroup.com/investor-relations/annual-report/letter-to-stakeholders,Vacuum valves embedded in vacuum-intensive semicap tools.
VAT Group,Applied Materials,supplier_to_company,4,qualitative importance score 1-5,public,VACN.SW,Switzerland / US,medium,https://www.vatgroup.com/news/vat-medienmitteilung-zum-jahresabschluss-2025,Leading-edge AI logic/HBM requires vacuum-intensive processes and high-end valves.
